IAM,Year,Country,Project,ID,IAM ID,Filer(s),Environmental Category,Project Company,Project Number,Related Project Number,Project Type,Financial Institution,Project Loan Amount,Sector,Issues,Complaint Status,Filing Date,Registration Start Date,Registration End Date,Eligibility Start Date,Eligibility End Date,Dispute Resolution Start Date,Dispute Resolution End Date,Compliance Review Start Date,Compliance Review End Date,Monitoring Start Date,Monitoring End Date,Compliance Report Issued?,Date Closed,Documents,Hyperlink,Project Date,Project Status,Project Description
CAO,2012,Mongolia,Oyu Tolgoi LLC 29007 (IFC) & 7041,191,21,,A,OT LLC,(MIGA),,"Oil, Gas, Mining, & Chemicals",IFC & MIGA,$400m A loan & $1b B loan,Mining,"Impacts to land and water, Indigenous culture and livelihoods, compensation and relocation, project due diligence",Open - Ombudsman,"October 12, 2012","October 12, 2012",,,,,Completed,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=191,,,
CAO,2013,Mongolia,Oyu Tolgoi LLC 29007 (IFC) & 7041,196,21,,A,OT LLC,(MIGA),,"Oil, Gas, Mining, & Chemicals",IFC & MIGA,$400m A loan & $1b B loan,Mining,Mine impacts on Undai River,Open - Ombudsman,"February 11, 2013","February 11, 2013",,,,,Completed,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=196,,,
CAO,2017,Myanmar,Myanma Awaba Group Company Ltd.,1267,21,,B,Myanma Awaba Group Co. Ltd.,35880,,Agribusiness,IFC,USD$ 10 million Convertible C Loan,XX - Other,"Water, community health, community consultation/stakeholder engagement, information disclosure, compliance with IFC Performance Standards",Open - Ombudsman,"October 04, 2017","October 04, 2017",,,,Completed,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=1267,,,
CAO,2014,Papua New Guines,AES PNG,228,21,,B,Avenell Engineering Systems Ltd,32750,,Infrastructure,IFC,US$4 million,Port and Harbor Operations,Loss of land and due diligence,Closed,"September 29, 2014","September 29, 2014",,,Completed,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=228,,,
CAO,2011,Papua New Guinea,PNG SEZ,175,21,,,"Department of Commerce & Industry, PNG",564427,,,IFC,Advisory Services,XX - Other,"Community consultation, environmental planning, impacts to fish, reefs and lagoons, and wider social and environmental impacts",Closed,"July 12, 2011","July 12, 2011",,,,,Completed,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=175,,,
CAO,2011,Philippines,Mindoro Resources,176,21,,B,Mindoro Resources Ltd.,26987,,"Oil, Gas, Mining, & Chemicals",IFC,$9.5 million equity investment,Mining,"Cultural heritage, ancestral lands, natural resources (forests, land, and water), information disclosure, and community consultation",Closed,"September 16, 2011","September 16, 2011",,,Completed,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=176,,,
CAO,2008,Philippines,Ambuklao-Binga,85,21,,B,SN Aboitiz Power Benguet,26996,,Infrastructure,IFC,$85 million (A Loan) & $15 million (C Loan),Utilities,,Closed,"June 01, 2008","June 01, 2008",,,,,Completed,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=85,,,
CAO,2017,Philippines,"Rizal Commercial Banking Corporation (RCBC) 30235, 32853, 34115,",1266,21,,FI,Rizal Commercial Banking Corporation (RCBC),37489,,Financial Markets,IFC,$30m C loan; $149m equity; $75m bond,Banking,"Climate change, inadequate compensation, health harms, loss of livelihoods, environmental and social management system",Open - Ombudsman,"October 11, 2017","October 11, 2017",,,Completed,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=1266,,,
CAO,2013,Albania,Albania Hydros,194,21,,N/A,Government of Albania,583387,,Environment & Social Development,IFC (Advisory Services),N/A,Power,Social & environmental impacts of privatization,Closed,"January 14, 2013","January 14, 2013",,,Completed,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=194,,,
CAO,2015,Albania,Enso Albania,240,21,,B,Enso Hydro Energji Sh Pk,30979,,Infrastructure,IFC,$8.66 million equity,Renewable Energy,"Biodiversity and critical habitats, ecotourism livelihood, IFC due diligence, national law",Open - Compliance,"June 22, 2015","June 22, 2015",,,,,,Completed,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=240,,,
CAO,2013,Albania,Bankers Petroleum,197,21,,B,Bankers,27306,,"Oil, Gas, Mining, & Chemicals",IFC,Up to US$55 m A loan & $10 m equity,Oil and Gas,"Health impacts, impacts to local infrastructure & environmental impact to water sources",Open - Ombudsman,"March 13, 2013","March 13, 2013",,,,Completed,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=197,,,
CAO,2015,Albania,Kurum Hydro,237,21,,B,Kurum International,33378,,Global Manufacturing & Services,IFC,$44.91 million A Loan,Steel Production,Air pollution,Open - Ombudsman,"May 19, 2015","May 19, 2015",,,,Completed,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=237,,,
CAO,2014,Armenia,Lydian Inlt 3,221,21,,B,Lydian International,27657,,Infrastructure,IFC,US$16 million in stages since 2007,"Oil, Gas and Mining","Water pollution, biodiversity, violation of national laws and PS",Open - Compliance,"April 16, 2014","April 16, 2014",,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=221,,,
CAO,2014,Armenia,Lydian Inlt 3,222,21,,B,Lydian International,27657,,Infrastructure,IFC,US$16 million in stages since 2007,"Oil, Gas and Mining","Livelihoods, environmental contamination, employee healthcare, inadequete project information, insufficient community engagement",Open - Compliance,"July 25, 2014","July 25, 2014",,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=222,,,
CAO,2016,Belarus,"Strominvest 26107,",246,21,,B,JV Strominvest LLC,31993,,Global Manufacturing & Services,IFC,"US$10.75 million C-Loan, US$16.82 million A-Loan",Construction and Real Estate,Forced eviction and resettlement,Closed,"March 24, 2016","March 24, 2016",,,,Completed,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=246,,,
CAO,2018,Georgia,"Adjaristsqali Georgia LLC 33435, 37781, 601449 (IFC) and MIGA",1271,21,,A,Adjaristsqali Georgia LLC (AGL),(12315),,Infrastructure,IFC & MIGA,"$250 Loans, $34m Equity (IFC) and $63m guarantee",,"Increased risk of landslides and rockfalls, reduced groundwater levels, impacts on biodiversity, Company’s failure to address E&S risks of the project",Open,"February 15, 2018","February 15, 2018",,,Completed,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=1271,,,
CAO,2007,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,71,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"August 20, 2007","August 20, 2007",,,,,Completed,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=71,,,
CAO,2008,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,73,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"August 01, 2008","August 01, 2008",,,,,Completed,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=73,,,
CAO,2017,"Azerbaijan, Georgia, Turkey",Trans-Anatolian Pipeline,1262,21,,A,Southern Gas Corridor (SGC),13661,,Infrastructure,MIGA,$950 million,"Oil, Gas and Mining","Working conditions, health and safety conditions",Closed,"March 29, 2017","March 29, 2017",,,,Completed,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=1262,,,
CAO,2004,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,48,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"March 15, 2004","March 15, 2004",,,,Completed,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=48,,,
CAO,2004,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,49,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"May 21, 2004","May 21, 2004",,,,Completed,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=49,,,
CAO,2004,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,50,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"May 21, 2004","May 21, 2004",,,,Completed,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=50,,,
CAO,2004,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,51,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"May 21, 2004","May 21, 2004",,,,Completed,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=51,,,
CAO,2004,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,52,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"May 29, 2004","May 29, 2004",,,Completed,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=52,,,
CAO,2004,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,53,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"May 21, 2004","May 21, 2004",,,,Completed,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=53,,,
CAO,2004,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,54,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"May 21, 2004","May 21, 2004",,,,Completed,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=54,,,
CAO,2004,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,55,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"May 28, 2004","May 28, 2004",,,,,Completed,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=55,,,
CAO,2004,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,56,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"July 22, 2004","July 22, 2004",,,,,Completed,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=56,,,
CAO,2004,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,57,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"August 08, 2004","August 08, 2004",,,,,Completed,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=57,,,
CAO,2004,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,58,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"December 01, 2004","December 01, 2004",,,,Completed,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=58,,,
CAO,2004,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,59,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"December 01, 2004","December 01, 2004",,,Completed,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=59,,,
CAO,2004,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,60,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"December 10, 2004","December 10, 2004",,,,,Completed,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=60,,,
CAO,2004,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,61,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"December 01, 2004","December 01, 2004",,,Completed,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=61,,,
CAO,2005,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,62,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"May 03, 2005","May 03, 2005",,,Completed,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=62,,,
CAO,2005,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,63,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"May 03, 2005","May 03, 2005",,,Completed,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=63,,,
CAO,2005,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,65,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"June 24, 2005","June 24, 2005",,,,,Completed,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=65,,,
CAO,2005,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,66,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"June 24, 2005","June 24, 2005",,,Completed,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=66,,,
CAO,2006,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,70,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"August 03, 2006","August 03, 2006",,,,,Completed,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=70,,,
CAO,2011,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,173,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",Impacts to land,Closed,"May 30, 2011","May 30, 2011",,,,Completed,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=173,,,
CAO,2005,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,67,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"December 12, 2005","December 12, 2005",,,Completed,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=67,,,
CAO,2006,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,68,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"June 15, 2006","June 15, 2006",,,Completed,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=68,,,
CAO,2008,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,72,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"February 28, 2008","February 28, 2008",,,Completed,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=72,,,
CAO,2004,Kazakhstan,Lukoil Overseas,104,21,,A,Lukoil Overseas Karachaganak B.V.,9953,,"Oil, Gas, Mining, & Chemicals",IFC,"$50 mill (A), $75 mill (B) & $25 mill (C) loans","Oil, Gas and Mining",,Closed,"September 01, 2004","September 01, 2004",,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=104,,,
CAO,2007,Kazakhstan,Lukoil Overseas,105,21,,A,Lukoil Overseas Karachaganak B.V.,9953,,"Oil, Gas, Mining, & Chemicals",IFC,"$50 mill (A), $75 mill (B) & $25 mill (C) loans","Oil, Gas and Mining",,Closed,"April 01, 2007","April 01, 2007",,,Completed,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=105,,,
CAO,2008,Kazakhstan,Lukoil Overseas,74,21,,A,Lukoil Overseas Karachaganak B.V.,9953,,"Oil, Gas, Mining, & Chemicals",IFC,"$50 mill (A), $75 mill (B) & $25 mill (C) loans","Oil, Gas and Mining",,Closed,"May 01, 2008","May 01, 2008",,,,Completed,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=74,,,
CAO,2015,Kyrgyz Republic,Plato,233,21,,B,T.C. PLATO MESLEK YUKSEKOKULU,32583,,Global Manufacturing & Services,IFC,$6 million Quasi-Equity Investment,Education,"Unlawful termination of work, withheld compensation",Closed,"April 07, 2015","April 07, 2015",,,Completed,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=233,,,
CAO,2009,Russian Federation,Russkiy Mir II,88,21,,B,JSC SFAT,23870,,Infrastructure,IFC,$45 million (A Loan) & $55 million (B Loan),Transportation and Warehousing,,Closed,"March 01, 2009","March 01, 2009",,,,,Completed,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=88,,,
CAO,2007,Russian Federation,Russkiy Mir II,86,21,,B,JSC SFAT,23870,,Infrastructure,IFC,$45 million (A Loan) & $55 million (B Loan),Transportation and Warehousing,,Closed,"October 01, 2007","October 01, 2007",,,Completed,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=86,,,
CAO,2008,Russian Federation,Russkiy Mir II,87,21,,B,JSC SFAT,23870,,Infrastructure,IFC,$45 million (A Loan) & $55 million (B Loan),Transportation and Warehousing,,Closed,"February 01, 2008","February 01, 2008",,,,Completed,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=87,,,
CAO,2008,Turkey,Assan Aluminum,81,21,,B,Assan Aluminyum Sanayi ve Ticaret Anonim Sirketi,26648,,Global Manufacturing & Services,IFC,$30 million (A loan) & $30 million (B Loan),Primary Metals,,Closed,"October 01, 2008","October 01, 2008",,,,,Completed,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=81,,,
CAO,2008,Turkey,Standard Profil,80,21,,B,Standard Profil Otomotiv Ticaret ve Sanayi A.S.,26098,,Global Manufacturing & Services,IFC,25% shareholding,Industrial & Consumer Products,,Closed,"September 01, 2008","September 01, 2008",,,,,Completed,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=80,,,
CAO,2005,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,64,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"June 21, 2005","June 21, 2005",,,Completed,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=64,,,
CAO,2006,"Georgia, Turkey and Azerbaijan",Baku Tbilisi-Ceyhan Pipeline,69,21,,A,Baku Tiblisi-Ceyhan Pipeline,11251,,"Oil, Gas, Mining, & Chemicals",IFC,$125 million (A loan) $125 million (B loan),"Oil, Gas and Mining",,Closed,"July 06, 2006","July 06, 2006",,,,Completed,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=69,,,
CAO,2014,Ukraine,Axzon A/S,218,21,,B,Axzon,31990,,Agribusiness,IFC,70.6 million Equity,Agribusiness,"Land and water pollution, odor, information disclosure and consultation, violation of national laws and Performance Standards",Open - Compliance,"February 03, 2014","February 03, 2014",,,,,,Completed,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=218,,,
CAO,2003,Bolivia,Comsur V,125,21,,B,Sinchi Wayra S.A.,9670,,"Oil, Gas, Mining, & Chemicals",IFC,$10 million,"Oil, Gas and Mining",Quality of Environmental Impact Assessment (EIA); consultation and disclosure of information to indigenous communities; compensation.,Closed,"June 01, 2003","June 01, 2003",,,Completed,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=125,,,
CAO,2004,Brazil,Amaggi Expansion,91,21,,B,Amaggi Exportaçao e Importaçao Limitada,22561,,Agribusiness,IFC,$30 million (A loan),Agriculture and Forestry,,Closed,"November 01, 2004","November 01, 2004",,,,,,Completed,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=91,,,
CAO,2009,Chile,Aconcagua 2461 and,153,21,,B,Hydroelectrica Aconcagua,3526,,Infrastructure,IFC,Equity,Power,,Closed,"November 11, 2009","November 11, 2009",,,Completed,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=153,,,
CAO,2014,Chile,Hidromaule,226,21,,B,Hidromaule S.A,25568,,Infrastructure,IFC,US$ 9.7 million A Loan,Utilities,"Land acquisition process, compensation, due diligence",Closed,"October 27, 2014","October 27, 2014",,,Completed,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=226,,,
CAO,2017,Chile,Alto Maipo,1255,21,,A,Alto Maipo SpA,31632,,Infrastructure,IFC,Debt US $150 million,Large Hydro - Renewable Energy Generation,"Water shortage and contamination, noise pollution",Open - Compliance,"January 24, 2017","January 24, 2017",,,,,,Completed,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=1255,,,
CAO,2017,Chile,Alto Maipo,1263,21,,A,Alto Maipo SpA,31632,,Infrastructure,IFC,Debt US $150 million,Large Hydro - Renewable Energy Generation,"Internal grievance mechanism, occupational health and safety",Open - Compliance,"July 05, 2017","July 05, 2017",,,,,,Completed,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=1263,,,
CAO,2000,Chile,Empresa Electrica Pangue S.A.,92,21,,A,Empresa Electrica Pangue S.A.,2067,,Infrastructure,IFC,2.5% (Equity Interest) & $170 million (Loan),Utilities,,Closed,"August 01, 2000","August 01, 2000",,,,,Completed,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=92,,,
