Complaint Name,Project,Country,IAM,Bank,External ID,Status,Filer,IFI Support,Sector,Issues,Description,Registration,Eligibility,Dispute Resolution,Compliance Review,Monitoring
Altain Khuder debt & equity,Altain Khuder debt & equity,Mongolia,European Bank for Reconstruction and Development Project Complaint Mechanism (EBRD PCM),European Bank for Reconstruction and Development,2015/01,Active,"CEE Bankwatch, OT Watch","Equity Investment, Project/investment lending","Extractives (oil, gas, mining)","Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Livelihoods, Other community health and safety issues, Pollution, Water",,12/30/14,1/15/15,8/28/15,,8/28/15
Alterra,Alterra,Costa Rica,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,5/1/08,,,,
Amaggi Expansion-01/IFC Executive Vice President Request,Amaggi Expansion-01/IFC Executive Vice President Request,Brazil,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,91,Closed With Results,IFC Executive Vice President,Project/investment lending,Agribusiness,"Consultation and disclosure, Due diligence, Other environmental",,11/1/04,,,,
Ambatovy,Ambatovy,Madagascar,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,6/1/12,,,,
Ambatovy Nickel Project,Ambatovy Nickel Project,Madagascar,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2012/04,Active,Association des Agriculteurs et des Apiculteurs (F.M.M.T.-Fikambanan'ny Mpamboly sy Mpiompy Tantely),Project/investment lending,"Extractives (oil, gas, mining)","Biodiversity, Due diligence, Livelihoods, Other community health and safety issues, Pollution",,5/9/12,,5/9/12,,
Ambuklao-Binga Hydroelectric Power-01/Binga,Ambuklao-Binga Hydroelectric Power-01/Binga,Philippines,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,85,Closed With Results,Unknown,Project/investment lending,"Energy, Infrastructure","Displacement (physical and/or economic), Indigenous peoples, Labor, Livelihoods",,6/1/08,,7/1/08,7/30/08,
Andhra Pradesh & Telangana Road Sector Project,Andhra Pradesh & Telangana Road Sector Project,India,World Bank Inspection Panel (WB Panel),World Bank,105,Active,Unknown,No IFI involvement,Infrastructure,"Displacement (physical and/or economic), Human rights, Indigenous peoples, Livelihoods",,12/18/15,,,,
Angel Infin-01/ Gujarat,Angel Infin-01/ Gujarat,India,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,1/1/14,,,,
Anima Educacao,Anima Educacao,Brazil,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,3/1/11,,,,
"Anvil Mining Congo, SARL-01/World Bank President Request","Anvil Mining Congo, SARL-01/World Bank President Request",Democratic Republic of Congo,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,94,Closed With Results,President of World Bank Group,Risk Guarantee,"Extractives (oil, gas, mining)","Due diligence, Human rights, Other retaliation (actual or feared), Violence against the community (by gov't and/or company)",,7/1/05,,,,
Arun III Proposed Hydroelectric Project and Restructuring of IDA Credit,Arun III Proposed Hydroelectric Project and Restructuring of IDA Credit,Nepal,World Bank Inspection Panel (WB Panel),World Bank,1,Closed With Results,Unknown,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Human rights, Indigenous peoples, Other",,10/24/94,11/3/94,12/16/94,,12/16/94
Assam Integrated Flood and Riverbank Erosion and Risk Management Programme,Assam Integrated Flood and Riverbank Erosion and Risk Management Programme,India,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,Project/investment lending,"Conservation and environmental protection, Infrastructure",,,7/1/15,7/1/15,,,
Assam Power Sector Development Project,Assam Power Sector Development Project,India,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,Unknown,Project/investment lending,"Energy, Infrastructure",Procurement,,10/31/06,11/2/06,,,
Assan Aluminyum-01/Dilovasi,Assan Aluminyum-01/Dilovasi,Turkey,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,81,Closed With Results,The Confederation of Turkish Trade Unions,Project/investment lending,Manufacturing,"Labor, Other retaliation (actual or feared)",,10/1/08,,10/27/08,,
Asturias Waste Management,Asturias Waste Management,Spain,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2010/12,Closed Without Results,Unknown,No IFI involvement,Infrastructure,"Other, Other environmental",,9/24/10,,,,12/7/10
Atul Ltd.-01/Gujarat,Atul Ltd.-01/Gujarat,India,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,97,Closed With Results,Brackish Water Research Information,"Equity Investment, Project/investment lending","Chemicals, Manufacturing","Consultation and disclosure, Pollution",,6/1/06,,,,
Autoroute Sfax-Gabes,Autoroute Sfax-Gabes,Tunisia,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,,Closed Without Results,Unknown,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Due diligence",,2/13/12,2/27/12,,,
Avianca-01/Colombia,Avianca-01/Colombia,Colombia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,182,Monitoring,"AFL-CIO Solidarity Center, Asociacion Colombiana De Auxiliares De Vuelo (ACAV), Asociacion Colombiana De Aviadores Civiles (ACDAC), International Trade Union Confederation/ Global Unions Washington Office, International Transport Workers' Federation",Project/investment lending,Other,"Due diligence, Labor, Other retaliation (actual or feared)",,11/14/11,,12/13/11,,1/13/17
Axzon-01/Halych and Kalush,Axzon-01/Halych and Kalush,Ukraine,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,218,Active,Unknown,"Equity Investment, Project/investment lending",Agribusiness,"Biodiversity, Consultation and disclosure, Due diligence, Human rights, Other community health and safety issues, Pollution, Water",,2/3/14,,3/14/17,8/1/14,
AzerPost,AzerPost,Azerbaijan,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,7/1/13,,,,
Azure-01,Azure-01,China,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,6/1/13,,,,
BCR,BCR,Romania,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,5/1/05,,,,
BTA Toll Road,BTA Toll Road,Dominican Republic,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2011/04/INA,Closed Without Results,Unknown,,Infrastructure,Displacement (physical and/or economic),,3/9/10,,,,
BTC Georgia / Akhali Samgori,BTC Georgia / Akhali Samgori,Georgia,European Bank for Reconstruction and Development Independent Resource Mechanism (EBRD IRM),European Bank for Reconstruction and Development,2006/01,Closed Without Results,Unknown,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Livelihoods, Property damage",,10/24/06,11/3/06,3/20/07,,
BTC Georgia / Atskuri,BTC Georgia / Atskuri,Georgia,European Bank for Reconstruction and Development Independent Resource Mechanism (EBRD IRM),European Bank for Reconstruction and Development,2007/02,Closed With Results,Unknown,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Livelihoods, Other, Property damage",,7/6/07,7/18/07,12/4/07,11/23/07,
BTC Pipeline,BTC Pipeline,Azerbaijan,European Bank for Reconstruction and Development Independent Resource Mechanism (EBRD IRM),European Bank for Reconstruction and Development,2005/02,Closed Without Results,Unknown,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Due diligence, Other community health and safety issues, Property damage",,8/16/05,8/22/05,12/7/05,,
BTC Pipeline-01/ Switzerland,BTC Pipeline-01/ Switzerland,"Azerbaijan, Georgia, Turkey",IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,WWF,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Biodiversity, Consultation and disclosure, Livelihoods, Other environmental, Water",,12/1/03,,,,
BTC Pipeline-02/Rustavi,BTC Pipeline-02/Rustavi,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,48,Closed With Results,Unknown,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Consultation and disclosure, Other community health and safety issues, Property damage",,3/16/04,,4/4/17,7/1/04,
BTC Pipeline-03/Switzerland,BTC Pipeline-03/Switzerland,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,WWF Caucasus,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Biodiversity, Other environmental, Water",,3/1/04,,,,
BTC Pipeline-04/Switzerland,BTC Pipeline-04/Switzerland,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,WWF-Caucasus,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Biodiversity, Other environmental, Water",,5/1/04,,,,
BTC Pipeline-05/Rustavi City,BTC Pipeline-05/Rustavi City,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,Green Alternative,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure",Displacement (physical and/or economic),,5/1/04,,,,
BTC Pipeline-06/Bashkovi,BTC Pipeline-06/Bashkovi,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,49,Closed Without Results,Green Alternative,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Displacement (physical and/or economic), Livelihoods",,5/21/04,,6/8/04,,
BTC Pipeline-07/Dgvari,BTC Pipeline-07/Dgvari,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,50,Closed With Results Outside Process,Green Alternative,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Consultation and disclosure, Due diligence, Other community health and safety issues, Property damage",,5/21/04,,6/8/04,9/1/04,
BTC Pipeline-08/Sagrasheni,BTC Pipeline-08/Sagrasheni,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,51,Closed Without Results,Green Alternative,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Other community health and safety issues, Pollution, Property damage, Water",,5/21/04,,6/8/04,9/1/04,
BTC Pipeline-09/Tetritskaro,BTC Pipeline-09/Tetritskaro,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,52,Closed Without Results,Green Alternative,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Pollution, Property damage, Water",,5/29/04,,6/8/04,,
BTC Pipeline-10/Tetritskaro,BTC Pipeline-10/Tetritskaro,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,53,Closed With Results,Green Alternative,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Consultation and disclosure, Property damage",,5/21/04,,6/8/04,9/1/04,
BTC Pipeline-11/Tsikhisjvari,BTC Pipeline-11/Tsikhisjvari,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,54,Closed Without Results,Green Alternative,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Livelihoods, Property damage",,5/21/04,,6/8/04,9/1/04,
"BTC Pipeline-12/Tba, Tsemi, Sadgeri","BTC Pipeline-12/Tba, Tsemi, Sadgeri",Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,55,Closed With Results,Unknown,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Consultation and disclosure, Displacement (physical and/or economic), Livelihoods, Other community health and safety issues, Pollution, Water",,5/28/04,,5/4/17,10/18/04,
BTC Pipeline-13/Tsalka,BTC Pipeline-13/Tsalka,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,56,Closed With Results,Unknown,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Other, Pollution, Property damage, Water",,7/22/04,,8/2/04,11/24/04,
BTC Pipeline-14/Vale,BTC Pipeline-14/Vale,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,57,Closed With Results,Georgian Young Lawyers Association (GYLA),Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Displacement (physical and/or economic), Property damage",,8/8/04,,12/8/04,,
BTC Pipeline-15/Tetritsakro,BTC Pipeline-15/Tetritsakro,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,58,Closed Without Results,Unknown,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Other community health and safety issues, Pollution, Property damage",,12/1/04,,2/8/05,,
BTC Pipeline-16/Tetritsakro,BTC Pipeline-16/Tetritsakro,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,59,Closed Without Results,Unknown,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Consultation and disclosure, Property damage",,12/1/04,,,,
BTC Pipeline-17/Tadzrisi,BTC Pipeline-17/Tadzrisi,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,60,Closed With Results,Unknown,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Pollution, Property damage",,12/10/04,,2/8/05,,
BTC Pipeline-18/Tetritsakro,BTC Pipeline-18/Tetritsakro,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,61,Closed Without Results,Unknown,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Other, Pollution, Property damage",,12/1/04,,2/8/05,,
BTC Pipeline-19/Atskuri Temple,BTC Pipeline-19/Atskuri Temple,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,62,Closed Without Results,,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Cultural heritage, Property damage",,5/3/05,,6/13/05,,
BTC Pipeline-20/Atskuri,BTC Pipeline-20/Atskuri,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,63,Closed Without Results,,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure",Property damage,,5/3/05,,6/13/05,,
BTC Pipeline-21/Posof,BTC Pipeline-21/Posof,Turkey,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,64,Closed Without Results,Unknown,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Consultation and disclosure, Displacement (physical and/or economic)",,6/21/05,,,,
BTC Pipeline-22/Tsemi,BTC Pipeline-22/Tsemi,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,65,Closed With Results,Unknown,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Livelihoods, Pollution, Water",,6/24/05,,8/25/05,2/1/06,
BTC Pipeline-23/Tsemi,BTC Pipeline-23/Tsemi,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,66,Closed Without Results,Unknown,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure",Property damage,,6/24/05,,8/25/05,,
BTC Pipeline-24/Vale,BTC Pipeline-24/Vale,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,Unknown,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure",Displacement (physical and/or economic),,8/1/05,,,,
BTC Pipeline-25/Vale,BTC Pipeline-25/Vale,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,Unknown,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure",Displacement (physical and/or economic),,8/1/05,,,,
BTC Pipeline-26/Krstanisi,BTC Pipeline-26/Krstanisi,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,67,Closed Without Results,Unknown,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Consultation and disclosure, Displacement (physical and/or economic), Other community health and safety issues, Pollution, Property damage, Water",,12/12/05,,,,
BTC Pipeline-27/Tbilisi,BTC Pipeline-27/Tbilisi,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,68,Closed Without Results,Unknown,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure",Displacement (physical and/or economic),,6/15/06,,,,
BTC Pipeline-28/Adana & Ceyhan,BTC Pipeline-28/Adana & Ceyhan,Turkey,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,69,Closed Without Results,Society for the Protection of the Environment and Consumer,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Livelihoods, Other environmental",,7/6/06,,,9/1/06,
BTC Pipeline-29/Tsalka,BTC Pipeline-29/Tsalka,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,70,Closed With Results,Unknown,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure",Displacement (physical and/or economic),,8/3/06,,,,
BTC Pipeline-30/Vale,BTC Pipeline-30/Vale,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,71,Closed With Results,Unknown,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Displacement (physical and/or economic), Livelihoods",,8/20/07,,,,
BTC Pipeline-31/Naokhrebi,BTC Pipeline-31/Naokhrebi,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,72,Closed Without Results,Pobresi,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Consultation and disclosure, Displacement (physical and/or economic)",,2/28/08,,3/5/08,,
BTC Pipeline-32/Vale,BTC Pipeline-32/Vale,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,73,Closed With Results,Georgian Young Lawyers Association (GYLA),Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Displacement (physical and/or economic), Livelihoods",,8/1/08,,,,
BTC Pipeline-33/Vale,BTC Pipeline-33/Vale,Georgia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,173,Closed With Results,Unknown,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Livelihoods, Property damage",,5/30/11,,7/8/11,10/13/11,
Baku - Tbilisi - Ceyhan Pipeline,Baku - Tbilisi - Ceyhan Pipeline,Georgia,Overseas Private Investment Corporation Office of Accountability (OPIC OA),Overseas Private Investment Corporation,baku-tbilisi-ceyhan-pipeline,Closed With Results,Association Green Alternative,Risk Guarantee,"Extractives (oil, gas, mining), Infrastructure","Due diligence, Pollution, Water",,3/1/06,,5/22/06,,12/1/06
Bank Alfalah-01/Saddar Karachi,Bank Alfalah-01/Saddar Karachi,Pakistan,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,Unknown,Equity Investment,"Agribusiness, Other",Labor,,5/6/15,,5/15/17,,
Bankers Petroleum-01/Patos,Bankers Petroleum-01/Patos,Albania,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,197,Active,Unknown,"Equity Investment, Project/investment lending","Extractives (oil, gas, mining)","Due diligence, Other community health and safety issues, Pollution, Property damage, Water",,3/13/13,,3/13/17,8/1/13,
