Complaint Name,Project,Country,IAM,Bank,External ID,Status,Filer,IFI Support,Sector,Issues,Description,Compliance Report Issued,Non-Compliance Found,Filing Date,Registration Start,Registration End,Registration Status,"If no Registration, why?",Eligibility Start,Eligibility End,Eligibility Status,"If No Eligibility, Why?",Dispute Resolution Start,Dispute Resolution End,Dispute Resolution Status,"If No DR, Why?",Compliance Review Start,Compliance Review End,Compliance Review Status,"If No CR, Why?",Monitoring Start,Monitoring End,Monitoring Status,"If No Monitoring, Why?",Date Closed
Arun III Proposed Hydroelectric Project and Restructuring of IDA Credit,Arun III Proposed Hydroelectric Project and Restructuring of IDA Credit,Nepal,WB Inspection Panel,World Bank,1,Closed With Results,,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Human rights, Indigenous peoples, Other",,TRUE,TRUE,10/24/94,10/24/94,11/3/94,closed_with_outcome,,11/3/94,12/16/94,closed_with_outcome,,,,not_undertaken,Not offered by mechanism,12/16/94,6/16/95,closed_with_outcome,,,,not_undertaken,Mechanism deemed involvement unnecessary,6/30/95
Assam Integrated Flood and Riverbank Erosion and Risk Management Programme,Assam Integrated Flood and Riverbank Erosion and Risk Management Programme,India,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,no_id_25_40,Closed Without Results,,Project/investment lending,"Conservation and environmental protection, Infrastructure",Other,,FALSE,FALSE,7/1/15,7/1/15,7/1/15,closed_with_outcome,,7/1/15,9/30/15,closed_without_outcome,Inadequate information,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,9/30/15
Assam Power Sector Development Project,Assam Power Sector Development Project,India,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,May-06,Closed Without Results,,Project/investment lending,"Energy, Infrastructure",Procurement,,FALSE,FALSE,10/31/06,10/31/06,11/2/06,closed_with_outcome,,11/2/06,11/30/06,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,11/30/06
Assan Aluminyum-01/Dilovasi,Assan Aluminyum-01/Dilovasi,Turkey,IFC Compliance Advisor/Ombudsman,IFC/MIGA,81,Closed With Results,,Project/investment lending,Manufacturing,"Labor, Other retaliation (actual or feared)",,FALSE,FALSE,10/1/08,,,not_undertaken,,10/1/08,10/27/08,closed_with_outcome,,,,closed_with_outcome,,,,not_undertaken,Case closed in earlier stage,,8/31/10,closed_with_outcome,,8/31/10
Asturias Waste Management,Asturias Waste Management,Spain,EIB Complaints Mechanism,European Investment Bank,SG/E/2010/12,Closed Without Results,,No IFI involvement,Infrastructure,"Other, Other environmental",,FALSE,FALSE,9/24/10,9/24/10,,closed_with_outcome,,,,closed_with_outcome,,,,not_undertaken,Unknown,12/7/10,3/7/11,closed_with_outcome,,,,not_undertaken,Case closed in earlier stage,3/31/11
Atul Ltd.-01/Gujarat,Atul Ltd.-01/Gujarat,India,IFC Compliance Advisor/Ombudsman,IFC/MIGA,97,Closed With Results,,"Equity Investment, Project/investment lending","Chemicals, Manufacturing","Consultation and disclosure, Pollution",,FALSE,FALSE,6/1/06,,,not_undertaken,,6/1/06,,closed_with_outcome,,,,closed_with_outcome,,,,not_undertaken,Case closed in earlier stage,,6/30/07,closed_with_outcome,,6/30/07
Autoroute Sfax-Gabes,Autoroute Sfax-Gabes,Tunisia,EIB Complaints Mechanism,European Investment Bank,SG/E/2012/01,Closed Without Results,,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Due diligence",,FALSE,FALSE,2/13/12,2/13/12,2/27/12,closed_with_outcome,,2/27/12,,closed_without_outcome,"Outside of mandate, Outside of mandate, Issues previously raised",,,not_undertaken,Unknown,,,not_undertaken,,,,not_undertaken,Case closed in earlier stage,11/30/13
Avianca-01/Colombia,Avianca-01/Colombia,Colombia,IFC Compliance Advisor/Ombudsman,IFC/MIGA,182,Monitoring,,Project/investment lending,Other,"Due diligence, Labor, Other retaliation (actual or feared)",,TRUE,TRUE,11/14/11,,,not_undertaken,,11/14/11,12/13/11,closed_with_outcome,,,,not_undertaken,Actor(s) involved refused to participate,1/1/13,5/1/15,closed_with_outcome,,5/18/15,,in_progress,,
Axzon-01/Halych and Kalush,Axzon-01/Halych and Kalush,Ukraine,IFC Compliance Advisor/Ombudsman,IFC/MIGA,218,Active,,"Equity Investment, Project/investment lending",Agribusiness,"Biodiversity, Consultation and disclosure, Due diligence, Human rights, Other community health and safety issues, Pollution, Water",,FALSE,FALSE,2/3/14,,,not_undertaken,,2/3/14,3/1/14,closed_with_outcome,,10/1/14,8/1/16,closed_with_outcome,,8/1/17,,not_undertaken,,,,not_undertaken,,
AzerPost,AzerPost,Azerbaijan,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_84,Closed Without Results,,,Other,Other,,FALSE,FALSE,7/1/13,,,not_undertaken,,7/1/13,7/31/13,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,7/31/13
Azure-01,Azure-01,China,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_78,Closed Without Results,,,Other,Other,,FALSE,FALSE,6/1/13,,,not_undertaken,,6/1/13,6/30/13,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,6/30/13
BCR,BCR,Romania,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_9,Closed Without Results,,,Other,Other,,FALSE,FALSE,5/1/05,,,not_undertaken,,5/1/05,5/31/05,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,5/31/05
BTA Toll Road,BTA Toll Road,Dominican Republic,EIB Complaints Mechanism,European Investment Bank,SG/E/2011/04/INA,Closed Without Results,,,Infrastructure,Displacement (physical and/or economic),,FALSE,FALSE,3/9/10,3/9/10,4/30/11,closed_without_outcome,,,4/30/11,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,4/30/11
BTC Georgia / Akhali Samgori,BTC Georgia / Akhali Samgori,Georgia,EBRD Independent Resource Mechanism,European Bank for Reconstruction and Development,2006/01,Closed Without Results,,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Livelihoods, Property damage",,FALSE,FALSE,10/24/06,10/24/06,11/3/06,closed_with_outcome,,11/3/06,3/20/07,closed_with_outcome,,,,not_undertaken,Actor(s) involved refused to participate,,,not_undertaken,Mechanism deemed involvement unnecessary,,,not_undertaken,Case closed in earlier stage,11/30/07
BTC Georgia / Atskuri,BTC Georgia / Atskuri,Georgia,EBRD Independent Resource Mechanism,European Bank for Reconstruction and Development,2007/02,Closed With Results,,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Livelihoods, Other, Property damage",,FALSE,FALSE,7/6/07,7/6/07,7/18/07,closed_with_outcome,,7/18/07,12/4/07,closed_with_outcome,,11/23/07,8/23/08,closed_with_outcome,,,,not_undertaken,Mechanism deemed involvement unnecessary,,,not_undertaken,,8/31/08
BTC Pipeline,BTC Pipeline,Azerbaijan,EBRD Independent Resource Mechanism,European Bank for Reconstruction and Development,2005/02,Closed Without Results,,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Due diligence, Other community health and safety issues, Property damage",,FALSE,FALSE,8/16/05,8/16/05,8/22/05,closed_with_outcome,,8/22/05,12/7/05,closed_with_outcome,,,,not_undertaken,Actor(s) involved refused to participate,,,not_undertaken,Mechanism deemed involvement unnecessary,,,not_undertaken,Case closed in earlier stage,3/31/06
BTC Pipeline-01/ Switzerland,BTC Pipeline,"Azerbaijan, Georgia, Turkey",IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_3,Closed Without Results,,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Biodiversity, Consultation and disclosure, Livelihoods, Other environmental, Water",,FALSE,FALSE,12/1/03,,,not_undertaken,,12/1/03,12/31/03,closed_without_outcome,Filer Issue,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,12/31/03
BTC Pipeline-02/Rustavi,BTC Pipeline,Georgia,IFC Compliance Advisor/Ombudsman,IFC/MIGA,48,Closed With Results,,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Consultation and disclosure, Other community health and safety issues, Property damage",,FALSE,FALSE,3/16/04,,,not_undertaken,,3/16/04,4/1/04,closed_with_outcome,,7/1/04,5/1/05,closed_with_outcome,,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Mechanism deemed involvement unnecessary,5/31/05
BTC Pipeline-03/Switzerland,BTC Pipeline,Georgia,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_4,Closed Without Results,,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Biodiversity, Other environmental, Water",,FALSE,FALSE,3/1/04,,,not_undertaken,,3/1/04,4/30/04,closed_without_outcome,Filer Issue,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,4/30/04
